Componente (fuente),Versión/Tag,Origen (URL git/tar),Commit/Hash,Sistema de build (autotools/cmake),CMake options (-D...),make install prefix,Variables de entorno (LD_LIBRARY_PATH;CPATH;LDFLAGS;PKG_CONFIG_PATH;PATH),Comando de verificación,Resultado (OK/KO),Notas,Configure flags
Python,3.12,https://www.python.org/ftp/python/3.12.10/Python-3.12.10.tgz,N/D,Autotools/CMake,N/D,N/D,Ver Anexo G,python3.12 --version,OK,,
VTK,9.0.1,https://github.com/Kitware/VTK.git,v9.0.1,CMake,"-DCMAKE_INSTALL_PREFIX=/usr/lib -DCMAKE_INSTALL_LIBDIR=. -DCMAKE_BUILD_TYPE=Release -DBUILD_SHARED_LIBS=ON -DVTK_WRAP_PYTHON=ON -DVTK_PYTHON_VERSION=3 -DPython3_EXECUTABLE=""${PY_EXE}"" -DPython3_INCLUDE_DIR=""${PY_INC}"" -DPython3_LIBRARY=""${PY_LIB}"" -DVTK_GROUP_ENABLE_Qt=NO -DVTK_GROUP_ENABLE_StandAlone=YES -DVTK_GROUP_ENABLE_Rendering=YES -DVTK_USE_TK=ON -DVTK_PYTHON_SITE_PACKAGES_SUFFIX=""${VTK_PY_SPKG_SUFFIX}""",N/D,Ver Anexo G,"python -c ""import vtk; print(vtk.vtkVersion().GetVTKVersion())""",OK,,
GCC,7.4.0,https://ftp.gnu.org/gnu/gcc/gcc-7.4.0/gcc-7.4.0.tar.gz,N/D,Autotools,N/D,N/D,Ver Anexo G,gcc --version | head -n1,OK,En sistema puede mostrarse 7.5.0 por actualizaciones de seguridad.; configure: ./configure --with-mpfr=/opt/mpfr-3.1.6 --with-mpc=/opt/mpc-1.0.3,./configure --with-mpfr=/opt/mpfr-3.1.6 --with-mpc=/opt/mpc-1.0.3
CLN,1.3.4,git://www.ginac.de/cln.git,9b86a7f,Autotools,N/D,N/D,Ver Anexo G,pkg-config --modversion cln,OK,,
GiNaC,1.7.7,git://www.ginac.de/ginac.git,d3ed101,Autotools,N/D,N/D,Ver Anexo G,pkg-config --modversion ginac,OK,,
mpfr,3.1.6,https://www.mpfr.org/mpfr-3.1.6/mpfr-3.1.6.tar.gz,N/D,Autotools,N/D,/opt/mpfr-3.1.6,Ver Anexo G,pkg-config --modversion mpfr,OK,nan; configure: ./configure --prefix=/opt/mpfr-3.1.6,./configure --prefix=/opt/mpfr-3.1.6
mpc,1.0.3,https://ftp.gnu.org/gnu/mpc/mpc-1.0.3.tar.gz,N/D,Autotools,N/D,/opt/mpc-1.0.3,Ver Anexo G,pkg-config --modversion mpc,OK,nan; configure: ./configure --prefix=/opt/mpc-1.0.3 --with-mpfr=/opt/mpfr-3.1.6,./configure --prefix=/opt/mpc-1.0.3 --with-mpfr=/opt/mpfr-3.1.6
isl,0.18,https://libisl.sourceforge.io/isl-0.18.tar.gz,N/D,Autotools,N/D,/opt/isl-0.18,Ver Anexo G,pkg-config --modversion isl,OK,nan; configure: ./configure --prefix=/opt/isl-0.18,./configure --prefix=/opt/isl-0.18
Fontconfig,2.12.6,https://www.freedesktop.org/software/fontconfig/release/fontconfig-2.12.6.tar.gz,N/D,Autotools,N/D,N/D,Ver Anexo G,fc-list | head -n3,OK,,
